mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.36475,r,21.99954633,0.050700186,24.20088196,c4d_210322_084514_ooi_r_v1.fits.fz,TRUE,2021hmw ,0.3784
59295.36612,g,22.63458588,0.091513581,24.19772213,c4d_210322_084712_ooi_g_v1.fits.fz,TRUE,,
59297.31848,g,22.69113091,0.089795412,24.25575675,c4d_210324_073836_ooi_g_v1.fits.fz,TRUE,,
59297.31951,r,21.99189015,0.047330139,24.26107715,c4d_210324_074005_ooi_r_v1.fits.fz,TRUE,,
59301.28403,g,22.23666292,0.31672501,22.38431388,c4d_210328_064900_ooi_g_v1.fits.fz,FALSE,,
59301.28507,r,22.27725026,0.198215139,22.93426794,c4d_210328_065030_ooi_r_v1.fits.fz,FALSE,,
59304.31164,r,22.27371345,0.569237139,21.77266326,c4d_210331_072845_ooi_r_v1.fits.fz,FALSE,,
59304.33,r,21.44540599,0.236163553,21.9064959,c4d_210331_075511_ooi_r_v1.fits.fz,FALSE,,
59307.3143,g,20.29877587,0.472826658,20.01665873,c4d_210403_073235_ooi_g_v1.fits.fz,FALSE,,
59307.31521,r,22.49730678,1.896758321,20.71112068,c4d_210403_073353_ooi_r_v1.fits.fz,FALSE,,
59307.35915,g,24.11957377,7.098893081,20.88245022,c4d_210403_083710_ooi_g_v1.fits.fz,FALSE,,
59310.31564,g,24.465078,0.714582893,23.73555194,c4d_210406_073430_ooi_g_v1.fits.fz,FALSE,,
59310.31655,r,22.3167342,0.087348559,23.89772032,c4d_210406_073550_ooi_r_v1.fits.fz,TRUE,,
59310.35597,g,22.94884821,0.324718982,23.07248167,c4d_210406_083235_ooi_g_v1.fits.fz,FALSE,,
59313.27828,g,25.09831876,0.98204849,24.02118036,c4d_210409_064043_ooi_g_v1.fits.fz,FALSE,,
59313.2792,r,22.34051287,0.079506181,24.02695626,c4d_210409_064202_ooi_r_v1.fits.fz,TRUE,,
59313.31826,g,23.61522313,0.311304224,23.79149007,c4d_210409_073817_ooi_g_v1.fits.fz,FALSE,,
59316.26637,g,23.76341137,0.305796674,23.97446383,c4d_210412_062334_ooi_g_v1.fits.fz,FALSE,,
59316.26727,r,22.62166107,0.111299312,23.91523343,c4d_210412_062451_ooi_r_v1.fits.fz,TRUE,,
59316.30651,g,23.76609609,0.303138148,23.96697934,c4d_210412_072122_ooi_g_v1.fits.fz,FALSE,,
59319.28919,g,24.60562822,0.5301501,24.2093674,c4d_210415_065625_ooi_g_v1.fits.fz,FALSE,,
59319.29011,r,22.96573919,0.137089934,24.05381698,c4d_210415_065745_ooi_r_v1.fits.fz,TRUE,,
59319.32884,g,24.46192559,0.487557663,24.14453531,c4d_210415_075331_ooi_g_v1.fits.fz,FALSE,,
59322.28396,g,23.77964516,0.265630147,24.13313068,c4d_210418_064854_ooi_g_v1.fits.fz,FALSE,,
59322.28486,r,22.95574272,0.136682365,24.02597909,c4d_210418_065012_ooi_r_v1.fits.fz,TRUE,,
59322.32382,g,25.10766683,1.082790177,23.93388833,c4d_210418_074617_ooi_g_v1.fits.fz,FALSE,,
59329.25875,g,23.25594067,0.796298832,22.39778007,c4d_210425_061236_ooi_g_v1.fits.fz,FALSE,,
59329.25967,r,23.30570677,0.529297029,22.90388843,c4d_210425_061355_ooi_r_v1.fits.fz,FALSE,,
59329.31386,g,22.584193,0.517359717,22.19346088,c4d_210425_073157_ooi_g_v1.fits.fz,FALSE,,
59333.26459,g,23.05762799,0.973564826,21.97796064,c4d_210429_062100_ooi_g_v1.fits.fz,FALSE,,
59333.26551,r,22.7702681,0.602882624,22.22172876,c4d_210429_062220_ooi_r_v1.fits.fz,FALSE,,
59337.23855,g,24.46069925,1.146409838,23.22106418,c4d_210503_054331_ooi_g_v1.fits.fz,FALSE,,
59337.23947,r,23.21018185,0.320742925,23.34198589,c4d_210503_054450_ooi_r_v1.fits.fz,FALSE,,
59337.31143,g,23.00595313,0.408612873,22.88384717,c4d_210503_072827_ooi_g_v1.fits.fz,FALSE,,
59340.31164,g,23.60690404,0.475959156,23.31620923,c4d_210506_072845_ooi_g_v1.fits.fz,FALSE,,
59340.31257,r,25.07530499,1.868574505,23.31105993,c4d_210506_073005_ooi_r_v1.fits.fz,FALSE,,
59346.30886,g,28.15861827,22.83415729,23.6599519,c4d_210512_072445_ooi_g_v1.fits.fz,FALSE,,
59346.30978,r,24.07351027,0.500150954,23.75221822,c4d_210512_072604_ooi_r_v1.fits.fz,FALSE,,
59349.29474,g,24.79471594,1.695764109,23.15270968,c4d_210515_070425_ooi_g_v1.fits.fz,FALSE,,
59349.29564,r,22.88372586,0.303601098,23.0759647,c4d_210515_070543_ooi_r_v1.fits.fz,FALSE,,
59352.25017,g,24.76928125,1.489478515,23.24513254,c4d_210518_060014_ooi_g_v1.fits.fz,FALSE,,
59352.25109,r,23.82660158,0.399528015,23.72346199,c4d_210518_060133_ooi_r_v1.fits.fz,FALSE,,
59352.28902,g,28.68208371,43.82051581,23.4761958,c4d_210518_065611_ooi_g_v1.fits.fz,FALSE,,
59356.24935,g,22.9571219,0.44924909,22.72838909,c4d_210522_055903_ooi_g_v1.fits.fz,FALSE,,
59356.25027,r,26.37526818,8.447547692,22.94396369,c4d_210522_060023_ooi_r_v1.fits.fz,FALSE,,
59367.239,g,27.37293894,13.52944154,23.44632744,c4d_210602_054409_ooi_g_v1.fits.fz,FALSE,,
59367.23991,r,24.67393424,0.798446873,23.82328009,c4d_210602_054528_ooi_r_v1.fits.fz,FALSE,,
