mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.33828,g,20.40303845,0.016009873,24.09392639,c4d_210322_080707_ooi_g_v1.fits.fz,TRUE,2021gvr ,0.1064
59295.3393,r,20.14491123,0.012370368,24.00805417,c4d_210322_080835_ooi_r_v1.fits.fz,TRUE,,
59295.34067,z,21.01291597,0.05390839,23.11896036,c4d_210322_081034_ooi_z_v1.fits.fz,FALSE,,
59297.29433,z,21.10102205,0.06728338,22.93639692,c4d_210324_070350_ooi_z_v1.fits.fz,TRUE,,
59297.29675,r,20.27189739,0.012420235,24.18097573,c4d_210324_070719_ooi_r_v1.fits.fz,TRUE,,
59297.29813,g,20.61457444,0.01101228,24.72055605,c4d_210324_070918_ooi_g_v1.fits.fz,TRUE,,
59301.25979,g,21.09047749,0.16226435,21.97066336,c4d_210328_061405_ooi_g_v1.fits.fz,FALSE,,
59301.2608,r,20.52058649,0.058894407,22.53372767,c4d_210328_061533_ooi_r_v1.fits.fz,TRUE,,
59301.26219,z,21.20162581,0.077109721,22.91761095,c4d_210328_061733_ooi_z_v1.fits.fz,TRUE,,
59304.29221,r,20.56424656,0.110376898,21.8840528,c4d_210331_070047_ooi_r_v1.fits.fz,TRUE,,
59304.2945,z,21.13391444,0.191565815,21.84710372,c4d_210331_070404_ooi_z_v1.fits.fz,FALSE,,
59304.33457,r,22.12214815,0.442337546,21.93668315,c4d_210331_080147_ooi_r_v1.fits.fz,FALSE,,
59307.27539,g,21.22803505,0.691324965,20.53631586,c4d_210403_063633_ooi_g_v1.fits.fz,FALSE,,
59307.2763,r,20.4017474,0.254515035,20.80708104,c4d_210403_063752_ooi_r_v1.fits.fz,FALSE,,
59307.27744,z,20.72582564,0.393081554,20.6358122,c4d_210403_063930_ooi_z_v1.fits.fz,FALSE,,
59307.35262,g,21.64339054,0.117449986,22.89245179,c4d_210403_082746_ooi_g_v1.fits.fz,FALSE,,
59310.27667,g,21.78434028,0.059537938,23.83303105,c4d_210406_063824_ooi_g_v1.fits.fz,TRUE,,
59310.27758,r,20.71763993,0.024589186,23.7652644,c4d_210406_063943_ooi_r_v1.fits.fz,TRUE,,
59310.27872,z,20.95656817,0.050350104,23.12548891,c4d_210406_064121_ooi_z_v1.fits.fz,FALSE,,
59310.34685,g,21.78802509,0.069100662,23.64648803,c4d_210406_081927_ooi_g_v1.fits.fz,TRUE,,
59313.22955,g,22.02915945,0.056853608,24.13926099,c4d_210409_053033_ooi_g_v1.fits.fz,TRUE,,
59313.23048,r,20.93463864,0.023259624,24.03901266,c4d_210409_053153_ooi_r_v1.fits.fz,TRUE,,
59313.23163,z,20.9640355,0.047496766,23.20159702,c4d_210409_053332_ooi_z_v1.fits.fz,FALSE,,
59313.30887,g,21.94411011,0.085283495,23.56630184,c4d_210409_072446_ooi_g_v1.fits.fz,TRUE,,
59316.21506,g,22.31140709,0.084927966,23.94397885,c4d_210412_050941_ooi_g_v1.fits.fz,TRUE,,
59316.21598,r,21.03458401,0.030377844,23.80812617,c4d_210412_051100_ooi_r_v1.fits.fz,TRUE,,
59316.21712,z,20.9452052,0.055529747,23.00722961,c4d_210412_051239_ooi_z_v1.fits.fz,FALSE,,
59316.29716,g,22.21047641,0.080343843,23.91455628,c4d_210412_070754_ooi_g_v1.fits.fz,TRUE,,
59319.25185,g,22.43936576,0.046912207,24.72371206,c4d_210415_060240_ooi_g_v1.fits.fz,TRUE,,
59319.25278,r,21.13215809,0.027609807,24.05394938,c4d_210415_060359_ooi_r_v1.fits.fz,TRUE,,
59319.25392,z,21.01617576,0.056674925,23.05779971,c4d_210415_060538_ooi_z_v1.fits.fz,TRUE,,
59319.31968,g,22.3956704,0.08323861,24.07949096,c4d_210415_074020_ooi_g_v1.fits.fz,TRUE,,
59322.24122,g,22.51228604,0.052681202,24.66631106,c4d_210418_054721_ooi_g_v1.fits.fz,FALSE,,
