mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.32866,g,23.48903662,0.201240833,24.15031377,c4d_210322_075316_ooi_g_v1.fits.fz,FALSE,2021hnq  ,0.12935
59295.32968,r,21.66522754,0.042205251,24.06107856,c4d_210322_075444_ooi_r_v1.fits.fz,TRUE,,
59295.33106,z,21.51608014,0.075150037,23.23846223,c4d_210322_075643_ooi_z_v1.fits.fz,TRUE,,
59295.35753,g,21.20653472,0.026163219,24.08497418,c4d_210322_083451_ooi_g_v1.fits.fz,FALSE,,
59295.35856,r,21.69126858,0.045573883,24.00727623,c4d_210322_083619_ooi_r_v1.fits.fz,TRUE,,
59295.35993,z,21.43393204,0.07059505,23.25043477,c4d_210322_083817_ooi_z_v1.fits.fz,TRUE,,
59297.28472,z,21.68632534,0.092925075,23.20379319,c4d_210324_064959_ooi_z_v1.fits.fz,TRUE,,
59297.28714,r,21.84774469,0.053279038,24.03722259,c4d_210324_065328_ooi_r_v1.fits.fz,TRUE,,
59297.2885,g,23.75387327,0.223592965,24.31900644,c4d_210324_065526_ooi_g_v1.fits.fz,FALSE,,
59297.31366,z,21.56043636,0.096618111,23.02043955,c4d_210324_073139_ooi_z_v1.fits.fz,TRUE,,
59297.31607,r,21.79688819,0.042727254,24.20075647,c4d_210324_073508_ooi_r_v1.fits.fz,TRUE,,
59297.31744,g,21.61207924,0.034423473,24.20823205,c4d_210324_073707_ooi_g_v1.fits.fz,FALSE,,
59301.25009,g,22.83961894,0.65223733,22.20282708,c4d_210328_060007_ooi_g_v1.fits.fz,FALSE,,
59301.25115,r,22.23784482,0.227285361,22.75062455,c4d_210328_060139_ooi_r_v1.fits.fz,FALSE,,
59301.25252,z,21.77309994,0.115173781,23.03206779,c4d_210328_060337_ooi_z_v1.fits.fz,TRUE,,
59301.27919,g,21.14736762,0.132818874,22.23359964,c4d_210328_064201_ooi_g_v1.fits.fz,FALSE,,
59301.28023,r,22.09422095,0.205312733,22.71911567,c4d_210328_064332_ooi_r_v1.fits.fz,FALSE,,
59301.28162,z,21.91126215,0.133520995,23.01193172,c4d_210328_064532_ooi_z_v1.fits.fz,TRUE,,
59304.28435,r,22.48998283,0.274079823,22.77181114,c4d_210331_064927_ooi_r_v1.fits.fz,FALSE,,
59304.28663,z,21.63255931,0.295383453,21.85677625,c4d_210331_065245_ooi_z_v1.fits.fz,FALSE,,
59304.30776,r,23.43567261,1.676591422,21.7719591,c4d_210331_072310_ooi_r_v1.fits.fz,FALSE,,
59304.31003,z,21.95370653,0.413263671,21.80971662,c4d_210331_072626_ooi_z_v1.fits.fz,FALSE,,
59304.33093,r,22.45721202,0.636405457,21.85303507,c4d_210331_075632_ooi_r_v1.fits.fz,FALSE,,
59304.33639,r,23.06861571,0.460820802,22.81730672,c4d_210331_080424_ooi_r_v1.fits.fz,FALSE,,
59307.28318,g,22.54725251,1.514543075,20.98321091,c4d_210403_064746_ooi_g_v1.fits.fz,FALSE,,
59307.28408,r,22.56954756,1.684595253,20.89037476,c4d_210403_064904_ooi_r_v1.fits.fz,FALSE,,
