mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.28525,z,20.58538329,0.035241395,23.47297963,c4d_210322_065045_ooi_z_v1.fits.fz,TRUE,2021fxl ,0.0581
59295.28766,r,20.53880661,0.016713531,24.23835656,c4d_210322_065414_ooi_r_v1.fits.fz,TRUE,,
59295.28905,g,20.7611968,0.01845225,24.48682685,c4d_210322_065613_ooi_g_v1.fits.fz,TRUE,,
59297.24131,g,20.8312217,0.024729111,23.97800517,c4d_210324_054729_ooi_g_v1.fits.fz,TRUE,,
59297.24233,r,20.56626056,0.020429533,23.93549343,c4d_210324_054857_ooi_r_v1.fits.fz,TRUE,,
59297.24371,z,20.65127609,0.042197647,23.03805772,c4d_210324_055056_ooi_z_v1.fits.fz,TRUE,,
59301.20146,g,20.95886159,0.117963646,22.18981769,c4d_210328_045005_ooi_g_v1.fits.fz,TRUE,,
59301.20251,r,20.58363695,0.05975025,22.58325196,c4d_210328_045136_ooi_r_v1.fits.fz,TRUE,,
59301.20391,z,20.60565634,0.055172806,22.70140321,c4d_210328_045338_ooi_z_v1.fits.fz,TRUE,,
59304.24537,z,20.74204636,0.075319579,22.47218309,c4d_210331_055319_ooi_z_v1.fits.fz,TRUE,,
59304.34487,r,20.528637,0.100585218,21.92191819,c4d_210331_081636_ooi_r_v1.fits.fz,TRUE,,
59307.25979,g,21.36906641,0.850882213,20.45656122,c4d_210403_061406_ooi_g_v1.fits.fz,FALSE,,
59307.2607,r,20.52367876,0.167347168,21.36492721,c4d_210403_061524_ooi_r_v1.fits.fz,FALSE,,
59307.26183,z,20.39597469,0.081160763,22.02305879,c4d_210403_061702_ooi_z_v1.fits.fz,TRUE,,
59307.3393,g,21.03606858,0.074521087,22.7906236,c4d_210403_080835_ooi_g_v1.fits.fz,TRUE,,
59310.26102,g,21.44186594,0.044423573,23.82386142,c4d_210406_061552_ooi_g_v1.fits.fz,TRUE,,
59310.26195,r,20.6148895,0.025866526,23.56449194,c4d_210406_061712_ooi_r_v1.fits.fz,TRUE,,
59310.26308,z,20.68590784,0.047257908,22.94223297,c4d_210406_061850_ooi_z_v1.fits.fz,TRUE,,
59310.3432,g,21.35264212,0.048653104,23.61672905,c4d_210406_081412_ooi_g_v1.fits.fz,TRUE,,
59313.21384,g,21.41487422,0.034588027,24.12989421,c4d_210409_050756_ooi_g_v1.fits.fz,TRUE,,
59313.21476,r,20.68711914,0.026118447,23.68193065,c4d_210409_050915_ooi_r_v1.fits.fz,TRUE,,
59313.2159,z,20.74673631,0.045123265,23.0534959,c4d_210409_051053_ooi_z_v1.fits.fz,TRUE,,
59313.30512,g,21.34657179,0.03670232,23.98561427,c4d_210409_071922_ooi_g_v1.fits.fz,TRUE,,
59316.20007,g,21.48621652,0.041884307,23.98457543,c4d_210412_044806_ooi_g_v1.fits.fz,TRUE,,
59316.20098,r,20.77020663,0.02383358,23.87203762,c4d_210412_044924_ooi_r_v1.fits.fz,TRUE,,
59316.20214,z,20.77861438,0.051912318,22.91322756,c4d_210412_045104_ooi_z_v1.fits.fz,TRUE,,
59316.29341,g,21.44837282,0.041298319,23.93717333,c4d_210412_070230_ooi_g_v1.fits.fz,TRUE,,
59319.23689,g,21.4860848,0.033826973,24.27450737,c4d_210415_054106_ooi_g_v1.fits.fz,TRUE,,
