mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.29008,g,22.27379518,0.067216617,24.19642266,c4d_210322_065743_ooi_g_v1.fits.fz,TRUE,2021hmm ,0.1998
59295.29111,r,22.03696955,0.059984519,24.03884822,c4d_210322_065911_ooi_r_v1.fits.fz,FALSE,,
59295.29248,z,22.37339312,0.131602825,23.4904035,c4d_210322_070110_ooi_z_v1.fits.fz,FALSE,,
59297.24615,z,22.18150443,0.116413471,23.44654375,c4d_210324_055426_ooi_z_v1.fits.fz,FALSE,,
59297.24857,r,21.8149142,0.055994269,23.93501621,c4d_210324_055756_ooi_r_v1.fits.fz,FALSE,,
59297.24993,g,22.02096367,0.042911562,24.44552131,c4d_210324_055954_ooi_g_v1.fits.fz,TRUE,,
59301.20633,g,22.88191963,0.729463031,22.12951802,c4d_210328_045707_ooi_g_v1.fits.fz,FALSE,,
59301.20738,r,21.85035385,0.188570543,22.56530341,c4d_210328_045838_ooi_r_v1.fits.fz,FALSE,,
59301.20877,z,22.51558334,0.294872133,22.74761905,c4d_210328_050037_ooi_z_v1.fits.fz,FALSE,,
59304.24697,r,21.63162489,0.091333944,23.15089182,c4d_210331_055538_ooi_r_v1.fits.fz,FALSE,,
59304.24924,z,21.85075852,0.295156847,22.05442359,c4d_210331_055854_ooi_z_v1.fits.fz,FALSE,,
59304.34396,r,21.62641679,0.108302209,22.94916071,c4d_210331_081518_ooi_r_v1.fits.fz,FALSE,,
59307.24345,g,21.74963954,1.346526682,20.32657124,c4d_210403_055034_ooi_g_v1.fits.fz,FALSE,,
59307.24436,r,22.29254886,1.114961125,21.08066628,c4d_210403_055153_ooi_r_v1.fits.fz,FALSE,,
59307.24552,z,21.66133995,0.53024297,21.24402686,c4d_210403_055332_ooi_z_v1.fits.fz,FALSE,,
59307.3402,g,22.10574289,0.088746129,23.6566592,c4d_210403_080953_ooi_g_v1.fits.fz,FALSE,,
59310.24785,g,22.57493111,0.11972028,23.8372209,c4d_210406_055654_ooi_g_v1.fits.fz,FALSE,,
59310.24877,r,21.63345541,0.051572433,23.80598239,c4d_210406_055814_ooi_r_v1.fits.fz,FALSE,,
59310.24991,z,23.45688488,0.424590426,23.29738173,c4d_210406_055952_ooi_z_v1.fits.fz,FALSE,,
59310.34229,g,22.25190247,0.067159354,24.1335299,c4d_210406_081253_ooi_g_v1.fits.fz,FALSE,,
59313.20985,g,22.62931261,0.071929665,24.47730757,c4d_210409_050211_ooi_g_v1.fits.fz,FALSE,,
59313.21076,r,21.93829003,0.068539808,23.81854779,c4d_210409_050329_ooi_r_v1.fits.fz,FALSE,,
59313.212,z,22.76726667,0.18935566,23.49238678,c4d_210409_050516_ooi_z_v1.fits.fz,FALSE,,
59313.30412,g,22.6209685,0.406286974,22.80954951,c4d_210409_071755_ooi_g_v1.fits.fz,FALSE,,
59316.1963,g,23.05354475,0.163120199,23.983509,c4d_210412_044240_ooi_g_v1.fits.fz,FALSE,,
59316.19722,r,22.0668529,0.081485771,23.74126488,c4d_210412_044400_ooi_r_v1.fits.fz,FALSE,,
59316.29249,g,23.2455227,0.196036086,23.94759529,c4d_210412_070111_ooi_g_v1.fits.fz,FALSE,,
59319.21813,g,23.368098,0.127708336,24.54442838,c4d_210415_051406_ooi_g_v1.fits.fz,FALSE,,
59319.21903,r,22.17734752,0.082852593,23.83767437,c4d_210415_051524_ooi_r_v1.fits.fz,FALSE,,
59319.22387,r,22.22587833,0.080998773,23.91712259,c4d_210415_052222_ooi_r_v1.fits.fz,FALSE,,
59319.22501,z,22.67468193,0.177753959,23.47212088,c4d_210415_052401_ooi_z_v1.fits.fz,FALSE,,
59319.31515,g,23.88054892,0.223522827,24.45340249,c4d_210415_073348_ooi_g_v1.fits.fz,FALSE,,
59322.22244,g,23.73472832,0.176563391,24.54512692,c4d_210418_052018_ooi_g_v1.fits.fz,FALSE,,
59322.22337,r,22.46347823,0.105309893,23.85204564,c4d_210418_052138_ooi_r_v1.fits.fz,FALSE,,
59322.22451,z,23.31018979,0.379463886,23.26960315,c4d_210418_052318_ooi_z_v1.fits.fz,FALSE,,
59322.30999,g,24.16634896,0.272331328,24.50068318,c4d_210418_072622_ooi_g_v1.fits.fz,FALSE,,
59329.19292,g,26.69581955,6.504171241,23.56402058,c4d_210425_043748_ooi_g_v1.fits.fz,FALSE,,
59329.19384,r,22.52597815,0.132361504,23.64125356,c4d_210425_043908_ooi_r_v1.fits.fz,FALSE,,
59329.19498,z,23.21682482,0.479179871,22.91817272,c4d_210425_044046_ooi_z_v1.fits.fz,FALSE,,
59329.29988,g,24.01751605,1.791118801,22.2800323,c4d_210425_071149_ooi_g_v1.fits.fz,FALSE,,
59333.18786,g,23.43575087,0.931124724,22.42585738,c4d_210429_043031_ooi_g_v1.fits.fz,FALSE,,
59333.18879,r,22.53375784,0.166771299,23.40404515,c4d_210429_043151_ooi_r_v1.fits.fz,FALSE,,
59333.18994,z,24.58008697,2.010457933,22.70485083,c4d_210429_043330_ooi_z_v1.fits.fz,FALSE,,
59337.19732,g,24.91078848,1.586861992,23.33731121,c4d_210503_044408_ooi_g_v1.fits.fz,FALSE,,
59337.19823,r,23.05954083,0.254685087,23.45228766,c4d_210503_044526_ooi_r_v1.fits.fz,FALSE,,
59337.19937,z,23.29247933,0.570745447,22.80437123,c4d_210503_044705_ooi_z_v1.fits.fz,FALSE,,
59337.3134,g,24.23734334,1.660792262,22.60088526,c4d_210503_073117_ooi_g_v1.fits.fz,FALSE,,
59340.19308,g,25.49303487,2.46691308,23.43084324,c4d_210506_043801_ooi_g_v1.fits.fz,FALSE,,
59340.19517,z,24.40234548,1.45442895,22.91381746,c4d_210506_044102_ooi_z_v1.fits.fz,FALSE,,
59340.33687,g,24.55136793,1.761662385,22.86706099,c4d_210506_080505_ooi_g_v1.fits.fz,FALSE,,
59346.1967,g,26.48557638,3.763136933,23.97673708,c4d_210512_044315_ooi_g_v1.fits.fz,FALSE,,
59346.19761,r,23.70033479,0.331528122,23.81419074,c4d_210512_044433_ooi_r_v1.fits.fz,FALSE,,
59346.19876,z,24.9757161,2.61082384,22.81000501,c4d_210512_044612_ooi_z_v1.fits.fz,FALSE,,
59349.1825,g,25.8365546,1.901317377,24.05223363,c4d_210515_042248_ooi_g_v1.fits.fz,FALSE,,
59349.18341,r,23.49787354,0.303297825,23.70506773,c4d_210515_042406_ooi_r_v1.fits.fz,FALSE,,
59349.18457,z,24.25422981,1.183952059,22.98323344,c4d_210515_042547_ooi_z_v1.fits.fz,FALSE,,
