mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.25632,g,19.65039637,0.009470124,24.12736972,c4d_210322_060906_ooi_g_v1.fits.fz,TRUE,2021ftc,0.1217
59295.25735,r,19.63295793,0.009734414,23.78878031,c4d_210322_061035_ooi_r_v1.fits.fz,TRUE,,
59295.25872,z,20.5891467,0.029908819,23.32490647,c4d_210322_061233_ooi_z_v1.fits.fz,TRUE,,
59297.19961,g,19.73966691,0.01451844,23.41570427,c4d_210324_044726_ooi_g_v1.fits.fz,TRUE,,
59297.20063,r,19.71697874,0.01174779,23.77134308,c4d_210324_044854_ooi_r_v1.fits.fz,TRUE,,
59297.202,z,20.72832589,0.038297555,23.2060532,c4d_210324_045052_ooi_z_v1.fits.fz,TRUE,,
59301.17234,g,20.00311657,0.067498778,21.83101218,c4d_210328_040810_ooi_g_v1.fits.fz,TRUE,,
59301.17337,r,19.978228,0.03811143,22.44338548,c4d_210328_040939_ooi_r_v1.fits.fz,TRUE,,
59301.17475,z,20.96950571,0.08074373,22.60686809,c4d_210328_041138_ooi_z_v1.fits.fz,TRUE,,
59304.22203,z,21.15972154,0.178807974,21.93993604,c4d_210331_051943_ooi_z_v1.fits.fz,FALSE,,
59304.35034,r,20.07854963,0.03333365,22.72818361,c4d_210331_082429_ooi_r_v1.fits.fz,TRUE,,
59307.20623,g,20.82668145,0.331989328,20.92964557,c4d_210403_045658_ooi_g_v1.fits.fz,FALSE,,
59307.20714,r,20.27228667,0.070442497,22.0823387,c4d_210403_045816_ooi_r_v1.fits.fz,TRUE,,
59307.20828,z,20.95950017,0.086983668,22.51485379,c4d_210403_045955_ooi_z_v1.fits.fz,TRUE,,
59307.33384,g,20.64885606,0.077705651,22.34286006,c4d_210403_080044_ooi_g_v1.fits.fz,FALSE,,
59310.20459,g,20.88789539,0.026153796,23.94446252,c4d_210406_045436_ooi_g_v1.fits.fz,TRUE,,
59310.20549,r,20.32877661,0.017535548,23.7808806,c4d_210406_045554_ooi_r_v1.fits.fz,TRUE,,
59310.20662,z,20.96408194,0.046147834,23.24070079,c4d_210406_045732_ooi_z_v1.fits.fz,TRUE,,
59310.33406,g,20.9232296,0.030780225,23.76639872,c4d_210406_080102_ooi_g_v1.fits.fz,TRUE,,
59313.17872,g,21.23487857,0.029971555,24.15273931,c4d_210409_041721_ooi_g_v1.fits.fz,TRUE,,
59313.17963,r,20.45918937,0.02167412,23.709161,c4d_210409_041839_ooi_r_v1.fits.fz,TRUE,,
59313.18077,z,20.95166975,0.053035435,23.05751057,c4d_210409_042018_ooi_z_v1.fits.fz,FALSE,,
59313.29673,g,21.14115514,0.03372121,23.86610023,c4d_210409_070717_ooi_g_v1.fits.fz,TRUE,,
59316.16273,g,21.44314009,0.043771263,23.88623228,c4d_210412_035419_ooi_g_v1.fits.fz,TRUE,,
59316.16364,r,20.53528775,0.026722055,23.44514645,c4d_210412_035538_ooi_r_v1.fits.fz,TRUE,,
59316.28424,g,21.47909142,0.042161931,23.9458707,c4d_210412_064918_ooi_g_v1.fits.fz,TRUE,,
59319.18462,g,21.81271793,0.043389972,24.29066501,c4d_210415_042551_ooi_g_v1.fits.fz,TRUE,,
59319.18553,r,20.62589331,0.022168065,23.84528326,c4d_210415_042709_ooi_r_v1.fits.fz,TRUE,,
59319.18666,z,20.87510281,0.045574743,23.1609266,c4d_210415_042847_ooi_z_v1.fits.fz,FALSE,,
59319.30692,g,21.67025929,0.041932278,24.16887246,c4d_210415_072158_ooi_g_v1.fits.fz,TRUE,,
59322.18881,g,21.84438439,0.042378723,24.35198779,c4d_210418_043153_ooi_g_v1.fits.fz,FALSE,,
59322.18973,r,20.83431287,0.026707373,23.83159303,c4d_210418_043312_ooi_r_v1.fits.fz,TRUE,,
59322.19088,z,20.91206869,0.047145786,23.15931171,c4d_210418_043452_ooi_z_v1.fits.fz,FALSE,,
59322.30173,g,21.84328246,0.048467089,24.15705394,c4d_210418_071429_ooi_g_v1.fits.fz,TRUE,,
59329.15929,g,22.11233271,0.266917876,22.45689792,c4d_210425_034922_ooi_g_v1.fits.fz,FALSE,,
59329.1602,r,21.27086349,0.047610776,23.57068251,c4d_210425_035040_ooi_r_v1.fits.fz,TRUE,,
59329.29159,g,21.784798,0.239371512,22.23055837,c4d_210425_065953_ooi_g_v1.fits.fz,FALSE,,
59331.21897,z,22.06966778,0.75032177,21.30399354,c4d_210427_051519_ooi_z_v1.fits.fz,FALSE,,
59331.22837,z,21.58216381,0.381245736,21.52983532,c4d_210427_052850_ooi_z_v1.fits.fz,FALSE,,
59331.2686,z,20.90041516,0.489718382,20.55953265,c4d_210427_062646_ooi_z_v1.fits.fz,FALSE,,
59331.29581,z,21.91902024,1.301631795,20.53572867,c4d_210427_070557_ooi_z_v1.fits.fz,FALSE,,
59333.15593,g,23.45800382,1.150542209,22.19746615,c4d_210429_034431_ooi_g_v1.fits.fz,FALSE,,
59333.15683,r,21.29610292,0.109741278,22.6082938,c4d_210429_034549_ooi_r_v1.fits.fz,TRUE,,
59333.3097,g,22.01763231,0.347907673,22.06400706,c4d_210429_072558_ooi_g_v1.fits.fz,FALSE,,
59337.15711,g,22.70207693,0.178647379,23.5126922,c4d_210503_034614_ooi_g_v1.fits.fz,FALSE,,
59337.15802,r,21.54827092,0.058511253,23.57829423,c4d_210503_034732_ooi_r_v1.fits.fz,TRUE,,
59337.15917,z,21.63864462,0.131606534,22.74549533,c4d_210503_034911_ooi_z_v1.fits.fz,TRUE,,
59337.3077,g,22.42546475,0.266812631,22.77461438,c4d_210503_072305_ooi_g_v1.fits.fz,FALSE,,
59340.15992,g,22.77049256,0.146795584,23.7719641,c4d_210506_035016_ooi_g_v1.fits.fz,FALSE,,
59340.16083,r,21.57027951,0.046069625,23.87826717,c4d_210506_035135_ooi_r_v1.fits.fz,TRUE,,
59340.16197,z,21.72356926,0.103029221,23.10104278,c4d_210506_035314_ooi_z_v1.fits.fz,TRUE,,
59340.32862,g,22.21083454,0.187663026,22.92999804,c4d_210506_075313_ooi_g_v1.fits.fz,FALSE,,
59343.16252,g,22.28764547,2.227950103,20.32918783,c4d_210509_035401_ooi_g_v1.fits.fz,FALSE,,
59343.16342,r,18.89439872,0.600219397,18.35467985,c4d_210509_035519_ooi_r_v1.fits.fz,FALSE,,
59343.16457,z,15.14346652,1.45727797,13.6663898,c4d_210509_035658_ooi_z_v1.fits.fz,FALSE,,
59346.16468,g,22.65015604,0.126615926,23.83802793,c4d_210512_035708_ooi_g_v1.fits.fz,FALSE,,
59346.16559,r,21.75377005,0.062951069,23.71298993,c4d_210512_035827_ooi_r_v1.fits.fz,TRUE,,
59346.16674,z,22.34312414,0.236594857,22.81266392,c4d_210512_040005_ooi_z_v1.fits.fz,FALSE,,
59349.1505,g,22.67894279,0.101864165,24.13564284,c4d_210515_033643_ooi_g_v1.fits.fz,TRUE,,
59349.15141,r,21.70957744,0.063647302,23.65779525,c4d_210515_033802_ooi_r_v1.fits.fz,TRUE,,
59349.15256,z,22.01858025,0.160524819,22.91897209,c4d_210515_033940_ooi_z_v1.fits.fz,FALSE,,
59352.08989,g,22.7530966,0.14927157,23.75162859,c4d_210518_020926_ooi_g_v1.fits.fz,FALSE,,
59352.09079,r,21.87142017,0.076989586,23.59290284,c4d_210518_021044_ooi_r_v1.fits.fz,TRUE,,
59352.09194,z,22.03157317,0.145823271,23.03334094,c4d_210518_021223_ooi_z_v1.fits.fz,FALSE,,
59352.26716,g,22.81877861,0.144032758,23.87200675,c4d_210518_062442_ooi_g_v1.fits.fz,FALSE,,
59356.08882,g,22.97153979,0.41455286,22.83997195,c4d_210522_020753_ooi_g_v1.fits.fz,FALSE,,
59356.08973,r,22.00532894,0.094696768,23.49591596,c4d_210522_020912_ooi_r_v1.fits.fz,TRUE,,
59356.09086,z,22.42551195,0.237808715,22.88876581,c4d_210522_021050_ooi_z_v1.fits.fz,FALSE,,
59358.22267,z,21.75513846,0.259602663,22.12351261,c4d_210524_052038_ooi_z_v1.fits.fz,FALSE,,
59358.23335,z,23.02992898,2.057793429,21.1492247,c4d_210524_053601_ooi_z_v1.fits.fz,FALSE,,
59358.24407,z,22.10960557,0.409563874,21.97133937,c4d_210524_055127_ooi_z_v1.fits.fz,FALSE,,
59358.25468,z,22.18466168,0.908072683,21.18617468,c4d_210524_060643_ooi_z_v1.fits.fz,FALSE,,
59358.26533,z,22.88219971,0.907112288,21.88754208,c4d_210524_062204_ooi_z_v1.fits.fz,FALSE,,
59358.27598,z,23.37402702,1.206851785,22.07568081,c4d_210524_063724_ooi_z_v1.fits.fz,FALSE,,
59361.19819,z,23.90839839,1.313682999,22.51505447,c4d_210527_044523_ooi_z_v1.fits.fz,FALSE,,
59361.22429,z,23.0001906,0.961973496,21.94176028,c4d_210527_052258_ooi_z_v1.fits.fz,FALSE,,
59364.20617,z,22.89505126,0.34719138,22.94682111,c4d_210530_045653_ooi_z_v1.fits.fz,FALSE,,
59364.23234,z,23.44332453,0.480260616,23.14861055,c4d_210530_053434_ooi_z_v1.fits.fz,FALSE,,
59364.25847,z,22.71560792,0.348161295,22.76245419,c4d_210530_061211_ooi_z_v1.fits.fz,FALSE,,
59367.08106,g,22.63514894,0.100417922,24.08323882,c4d_210602_015643_ooi_g_v1.fits.fz,TRUE,,
59367.08197,r,22.30489765,0.095308053,23.80893836,c4d_210602_015802_ooi_r_v1.fits.fz,TRUE,,
59367.08312,z,22.69272781,0.273801555,23.00440626,c4d_210602_015941_ooi_z_v1.fits.fz,FALSE,,
59367.25712,g,22.84650808,0.342982086,22.91661306,c4d_210602_061015_ooi_g_v1.fits.fz,FALSE,,
59370.06344,g,23.1990116,0.197251053,23.91685069,c4d_210605_013121_ooi_g_v1.fits.fz,FALSE,,
59370.06435,r,22.40037649,0.10636064,23.7735149,c4d_210605_013240_ooi_r_v1.fits.fz,TRUE,,
59370.06549,z,22.94211747,0.334260956,23.02227798,c4d_210605_013418_ooi_z_v1.fits.fz,FALSE,,
59370.1108,g,22.88908977,1.080511955,21.71223931,c4d_210605_023933_ooi_g_v1.fits.fz,FALSE,,
