mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.25632,g,22.24805712,0.063894939,24.22209166,c4d_210322_060906_ooi_g_v1.fits.fz,TRUE,2021hmg ,0.3363
59295.25735,r,22.42198327,0.082900497,24.0492493,c4d_210322_061035_ooi_r_v1.fits.fz,TRUE,,
59295.25872,z,21.95193342,0.095784147,23.40613852,c4d_210322_061233_ooi_z_v1.fits.fz,TRUE,,
59297.19961,g,22.42627681,0.132830749,23.55692181,c4d_210324_044726_ooi_g_v1.fits.fz,TRUE,,
59297.20063,r,22.39987416,0.097809122,23.8772054,c4d_210324_044854_ooi_r_v1.fits.fz,FALSE,,
59297.202,z,22.22787812,0.122772586,23.40956776,c4d_210324_045052_ooi_z_v1.fits.fz,TRUE,,
59301.17234,g,24.40480853,3.50795046,21.92421614,c4d_210328_040810_ooi_g_v1.fits.fz,FALSE,,
59301.17337,r,22.83431715,0.482372879,22.51544395,c4d_210328_040939_ooi_r_v1.fits.fz,FALSE,,
59301.17475,z,22.87937126,0.430284279,22.69767134,c4d_210328_041138_ooi_z_v1.fits.fz,FALSE,,
59304.22203,z,25.73079024,11.35293455,21.98049114,c4d_210331_051943_ooi_z_v1.fits.fz,FALSE,,
59304.35034,r,22.56786579,0.247181637,22.97559814,c4d_210331_082429_ooi_r_v1.fits.fz,FALSE,,
59307.20623,g,22.32500446,1.159335426,21.05691544,c4d_210403_045658_ooi_g_v1.fits.fz,FALSE,,
59307.20714,r,22.68409097,0.535882007,22.27315607,c4d_210403_045816_ooi_r_v1.fits.fz,FALSE,,
59307.20828,z,21.94097334,0.19835271,22.58852623,c4d_210403_045955_ooi_z_v1.fits.fz,FALSE,,
59307.33384,g,22.72686321,0.360817872,22.74811724,c4d_210403_080044_ooi_g_v1.fits.fz,FALSE,,
59310.20459,g,22.9131763,0.133210145,24.05332921,c4d_210406_045436_ooi_g_v1.fits.fz,TRUE,,
59310.20549,r,22.5587401,0.108515971,23.89073142,c4d_210406_045554_ooi_r_v1.fits.fz,TRUE,,
59310.20662,z,21.94570702,0.098642189,23.36668624,c4d_210406_045732_ooi_z_v1.fits.fz,TRUE,,
59310.33406,g,22.99799414,0.168557556,23.84810106,c4d_210406_080102_ooi_g_v1.fits.fz,FALSE,,
59313.17872,g,23.08985438,0.130273661,24.23639803,c4d_210409_041721_ooi_g_v1.fits.fz,TRUE,,
59313.17963,r,22.68649335,0.126231617,23.86014884,c4d_210409_041839_ooi_r_v1.fits.fz,TRUE,,
59313.18077,z,22.65336884,0.218232914,23.20435941,c4d_210409_042018_ooi_z_v1.fits.fz,FALSE,,
59313.29673,g,23.31856532,0.203446587,23.98622746,c4d_210409_070717_ooi_g_v1.fits.fz,FALSE,,
59316.16273,g,22.75664081,0.128333026,23.91444853,c4d_210412_035419_ooi_g_v1.fits.fz,FALSE,,
59316.16364,r,22.99715868,0.172101797,23.82581559,c4d_210412_035538_ooi_r_v1.fits.fz,TRUE,,
59316.28424,g,23.59444079,0.241590625,24.07032802,c4d_210412_064918_ooi_g_v1.fits.fz,FALSE,,
59319.18462,g,23.74743523,0.207916197,24.39762062,c4d_210415_042551_ooi_g_v1.fits.fz,FALSE,,
59319.18553,r,22.66886086,0.106413335,24.05902592,c4d_210415_042709_ooi_r_v1.fits.fz,FALSE,,
59319.18666,z,22.65354443,0.211804256,23.25840527,c4d_210415_042847_ooi_z_v1.fits.fz,FALSE,,
59319.30692,g,23.8218095,0.246501222,24.26952821,c4d_210415_072158_ooi_g_v1.fits.fz,FALSE,,
59322.18881,g,23.99269966,0.26625179,24.35657628,c4d_210418_043153_ooi_g_v1.fits.fz,FALSE,,
59322.18973,r,22.47001621,0.096242687,23.95240038,c4d_210418_043312_ooi_r_v1.fits.fz,TRUE,,
59322.19088,z,22.30237887,0.15565238,23.23475356,c4d_210418_043452_ooi_z_v1.fits.fz,TRUE,,
59322.30173,g,23.89601533,0.262982323,24.26472297,c4d_210418_071429_ooi_g_v1.fits.fz,FALSE,,
59329.15929,g,24.48721871,2.086391044,22.59079894,c4d_210425_034922_ooi_g_v1.fits.fz,FALSE,,
59329.1602,r,23.23878624,0.252552041,23.65610811,c4d_210425_035040_ooi_r_v1.fits.fz,FALSE,,
59329.29159,g,24.21225286,1.945489373,22.39390275,c4d_210425_065953_ooi_g_v1.fits.fz,FALSE,,
59331.21897,z,22.37283201,0.751446087,21.59872026,c4d_210427_051519_ooi_z_v1.fits.fz,FALSE,,
59331.22837,z,26.57621886,37.64182077,21.53423232,c4d_210427_052850_ooi_z_v1.fits.fz,FALSE,,
59331.2686,z,22.39643947,1.848191239,20.64258443,c4d_210427_062646_ooi_z_v1.fits.fz,FALSE,,
59331.29581,z,21.5594556,0.912759444,20.56678069,c4d_210427_070557_ooi_z_v1.fits.fz,FALSE,,
59333.15593,g,23.65093714,1.286298784,22.29426912,c4d_210429_034431_ooi_g_v1.fits.fz,FALSE,,
59333.15683,r,26.03097277,7.163928072,22.77511362,c4d_210429_034549_ooi_r_v1.fits.fz,FALSE,,
59333.3097,g,23.55958065,1.248774292,22.2178235,c4d_210429_072558_ooi_g_v1.fits.fz,FALSE,,
59337.15711,g,23.19171712,0.259712121,23.572047,c4d_210503_034614_ooi_g_v1.fits.fz,FALSE,,
59337.15802,r,23.60765604,0.347175405,23.66822806,c4d_210503_034732_ooi_r_v1.fits.fz,FALSE,,
59337.15917,z,22.12523382,0.19094213,22.81392873,c4d_210503_034911_ooi_z_v1.fits.fz,FALSE,,
59337.3077,g,23.42254309,0.609093212,22.87992433,c4d_210503_072305_ooi_g_v1.fits.fz,FALSE,,
59340.15992,g,23.95556445,0.393810679,23.89047719,c4d_210506_035016_ooi_g_v1.fits.fz,FALSE,,
59340.16083,r,23.42792303,0.226388787,23.94127543,c4d_210506_035135_ooi_r_v1.fits.fz,FALSE,,
59340.16197,z,22.33800287,0.179328939,23.11308255,c4d_210506_035314_ooi_z_v1.fits.fz,FALSE,,
59340.32862,g,25.22937928,2.691179149,23.0746265,c4d_210506_075313_ooi_g_v1.fits.fz,FALSE,,
59343.16252,g,20.00481655,0.48884743,19.70415324,c4d_210509_035401_ooi_g_v1.fits.fz,FALSE,,
59343.16342,r,21.71110351,8.316404636,18.31657971,c4d_210509_035519_ooi_r_v1.fits.fz,FALSE,,
59343.16457,z,20.15997388,2.381611759,18.10942763,c4d_210509_035658_ooi_z_v1.fits.fz,FALSE,,
59346.16468,g,23.67896874,0.290389515,23.95492973,c4d_210512_035708_ooi_g_v1.fits.fz,FALSE,,
59346.16559,r,23.0568908,0.190581261,23.77293584,c4d_210512_035827_ooi_r_v1.fits.fz,FALSE,,
59346.16674,z,22.68231532,0.310119782,22.85627187,c4d_210512_040005_ooi_z_v1.fits.fz,FALSE,,
59349.1505,g,24.2787992,0.380567118,24.26045477,c4d_210515_033643_ooi_g_v1.fits.fz,FALSE,,
59349.15141,r,23.3086785,0.214686053,23.90340699,c4d_210515_033802_ooi_r_v1.fits.fz,FALSE,,
59349.15256,z,22.12038379,0.148968222,23.09684562,c4d_210515_033940_ooi_z_v1.fits.fz,FALSE,,
59352.08989,g,27.1606732,8.033680087,23.81010229,c4d_210518_020926_ooi_g_v1.fits.fz,FALSE,,
59352.09079,r,23.59826787,0.309643331,23.79027387,c4d_210518_021044_ooi_r_v1.fits.fz,FALSE,,
59352.09194,z,22.13193492,0.150360458,23.09767521,c4d_210518_021223_ooi_z_v1.fits.fz,FALSE,,
59352.26716,g,24.30317391,0.505562868,23.96661572,c4d_210518_062442_ooi_g_v1.fits.fz,FALSE,,
59356.08882,g,23.6692644,0.725598623,22.91999371,c4d_210522_020753_ooi_g_v1.fits.fz,FALSE,,
59356.08973,r,23.735891,0.414304806,23.59382659,c4d_210522_020912_ooi_r_v1.fits.fz,FALSE,,
59356.09086,z,22.43569133,0.217334481,22.99618612,c4d_210522_021050_ooi_z_v1.fits.fz,FALSE,,
59358.22267,z,22.98577487,0.765121529,22.1823472,c4d_210524_052038_ooi_z_v1.fits.fz,FALSE,,
59358.23335,z,21.46218281,0.473011631,21.1928628,c4d_210524_053601_ooi_z_v1.fits.fz,FALSE,,
59358.24407,z,22.42454331,0.518286398,22.02959765,c4d_210524_055127_ooi_z_v1.fits.fz,FALSE,,
59358.25468,z,22.70643166,1.428880299,21.20381417,c4d_210524_060643_ooi_z_v1.fits.fz,FALSE,,
59358.26533,z,23.00976624,0.826087438,22.11598202,c4d_210524_062204_ooi_z_v1.fits.fz,FALSE,,
59358.27598,z,21.7193293,0.25773446,22.08999467,c4d_210524_063724_ooi_z_v1.fits.fz,FALSE,,
59361.19819,z,24.97970414,3.155294643,22.63193221,c4d_210527_044523_ooi_z_v1.fits.fz,FALSE,,
59361.22429,z,23.19205467,1.041736942,22.06737693,c4d_210527_052258_ooi_z_v1.fits.fz,FALSE,,
59364.20617,z,22.40051133,0.198817328,23.05352027,c4d_210530_045653_ooi_z_v1.fits.fz,FALSE,,
59364.23234,z,22.41242443,0.189673463,23.1270235,c4d_210530_053434_ooi_z_v1.fits.fz,FALSE,,
59364.25847,z,22.35858843,0.220948093,22.91230522,c4d_210530_061211_ooi_z_v1.fits.fz,FALSE,,
59367.08106,g,25.30359292,0.993717117,24.22826696,c4d_210602_015643_ooi_g_v1.fits.fz,FALSE,,
59367.08197,r,23.42831991,0.237810221,23.90565748,c4d_210602_015802_ooi_r_v1.fits.fz,FALSE,,
59367.08312,z,22.49931512,0.217073784,23.07173815,c4d_210602_015941_ooi_z_v1.fits.fz,FALSE,,
59367.25712,g,23.64137605,0.643262227,23.02985013,c4d_210602_061015_ooi_g_v1.fits.fz,FALSE,,
59370.06344,g,24.88313698,0.820873426,24.01635853,c4d_210605_013121_ooi_g_v1.fits.fz,FALSE,,
59370.06435,r,23.93062423,0.382372461,23.90225503,c4d_210605_013240_ooi_r_v1.fits.fz,FALSE,,
59370.06549,z,22.41431372,0.199323499,23.08872019,c4d_210605_013418_ooi_z_v1.fits.fz,FALSE,,
59370.1108,g,24.05021514,3.022970868,21.74240465,c4d_210605_023933_ooi_g_v1.fits.fz,FALSE,,
