name,redshift
2021ftc,0.1217
2021gvr ,0.1064
2021gwm ,0.1571
2021hmi  ,0.22975
2021hml ,0.3854
2021hmq,0.129
2021hmx ,0.4765
2021hmy ,0.3376
2021hmz ,0.4112
