name,redshift,g_pk_time,r_pk_time,z_pk_time,g_pk_mag,r_pk_mag,z_pk_mag,g_a1,r_a1,z_a1,g_a2,r_a2,z_a2,g_std_time,r_std_time,z_std_time,g_std_mag,r_std_mag,z_std_mag,g_std_a1,r_std_a1,z_std_a1,g_std_a2,r_std_a2,z_std_a2,g_chi2,r_chi2,z_chi2,g_dof,r_dof,z_dof
2021bxc ,0.399,59336.31564694139,59346.108646941386,,-19.724304420801595,-19.46528261521552,,-6.529780761802966,-4.358831275747815,,0.0711853446419186,0.4368159330357611,,2.9189460755973293,0.0,,0.1606066534570176,0.0704240880888024,,1.1601219140501913,0.1898276048553597,,0.0593715102175512,0.0270256360654817,,18.944224617879577,14.985565472876049,,5.0,6.0,
2021ftc,0.1217,59292.03978750769,59293.499026345344,59286.006424987565,-19.197136311376198,-19.152989235518103,-18.570730777216916,-5.141288130545219,-0.455914444066021,2.2490474866695473,0.2216648171114997,0.3679284165689882,-0.5663872035868123,0.6284478022505581,0.4735548422392147,0.6510539307553367,0.031638073214767,0.0138884903387242,0.0287826060170868,0.208218531262564,0.0774525196108509,0.0248007765379028,0.0340805173054365,0.0175483257453652,0.0071735060709826,13.513395155493429,77.9458791505362,22.469361915166942,18.0,10.0,9.0
2021fxl ,0.0581,59297.299458313464,59303.671383058274,59289.892758313465,-16.32320053947075,-16.860973528565804,-16.96152840430647,0.4596427478129967,1.39051611769215,2.604667273200378,0.2609103678893138,0.2890293740827614,-0.704335941270945,0.5701200531119729,0.134276695821124,0.0,0.0143645331537008,0.0102278224053016,0.0148918346984647,0.2413434258960135,0.0802282144518844,0.0238922637652937,0.0318367697390244,0.0169559285925803,0.0069766474468601,202.13782139168725,914.3256632022149,209.33649793144912,17.0,11.0,11.0
2021gvr ,0.1064,59284.274280000005,59276.642459849456,59282.882421864335,-18.71836743175963,-19.15943174227258,-18.18434677849642,-5.239196211707313,-0.4842933567758882,2.3300226293148034,0.2364362776613287,0.3214898105364808,-0.6003091767484002,0.0,1.956885861468812,0.8403423071400695,0.0256287303784261,0.0882283131162036,0.0318309456793899,0.2196417553589011,0.0925260667091227,0.0245971905723086,0.0335153839098523,0.0171443200216982,0.0071139410555348,3.773163142331999,76.18540185341658,40.59987615677392,15.0,9.0,8.0
2021gwm ,0.1571,59297.397339330615,59298.691381045835,59296.299679627584,-19.214495988016843,-19.157780256525317,-18.446922729064923,-6.166787084736708,-1.0796903873077108,2.0749891927907753,0.2246076483535912,0.3703267845669332,-0.4887678798958534,0.2273841682594356,0.1640021895088482,0.7535141733843261,0.0064729650345608,0.0057114561945382,0.0190844192242954,0.2634945999257114,0.085585052082729,0.025370740301907,0.035460970829726,0.0181845534508728,0.0073431826398884,75.4655183902519,75.15464270970793,82.00114760031217,34.0,27.0,24.0
2021hab ,0.151,59298.66651154076,59299.005088295125,59295.63341238604,-18.809626780835167,-18.82966233229847,-17.94187713869309,-5.109385712529853,-1.4163922261901578,2.0823961476616333,0.2232715742394474,0.362640729584555,-0.5012319496395158,0.2697385736894497,0.227929308409109,1.6934720701777706,0.0115885420729881,0.0092946747940564,0.0409739025797367,0.3516610802875722,0.0992516666171363,0.0254244588571333,0.035474165524056,0.0183772098965544,0.0073185405672443,17.083471559803314,55.978355614830335,25.110668393223243,15.0,14.0,10.0
2021hmg ,0.3363,,59350.7427671478,59355.16591859873,,-18.178864604152967,-19.172272631643846,,-3.695154707810526,1.124680120404012,,0.4187418291714731,-0.0968499109525209,,1.8724926008311025,1.405197776324244,,0.0975748962296126,0.0624534125319065,,0.1624225109082887,0.0316407968727684,,0.0241595723128865,0.0088647048539051,,9.520367621522462,9.149498010812328,,4.0,9.0
2021hmi  ,0.22975,59301.85621288955,59304.11781978462,59303.9494488845,-19.122594420729683,-19.223086784991214,-18.816454940242735,-3.312991888295403,-1.7647463532841596,1.6764104668093582,0.1811155861465903,0.377018397671533,-0.3289782046381764,0.2760665009212222,0.2083879225661831,0.6452599239663781,0.0222454253683005,0.0145944243114967,0.0376776930633482,0.4311075967202887,0.1133156660878031,0.0274932899608912,0.0405327455490289,0.0202399661041821,0.0078318414739354,70.56093521637628,283.8544942227211,11.481020197005574,18.0,15.0,9.0
2021hmj ,0.1384,,59346.222689032606,59338.2538890326,,-16.412017468034684,-17.701121563442427,,-1.1515697678015544,2.1496917557382096,,0.367661592509779,-0.5284191815163131,,0.0,0.9190954435860478,,0.0878854969542678,0.0476479502706287,,0.1063252750169259,0.0252035219694743,,0.0183043585666089,0.0072568111435422,,74.42488636292985,35.418812194662245,,6.0,8.0
2021hml ,0.3854,59271.81054,59271.81054,59281.50834,-19.870091681758243,-20.33719824777295,-19.558029417781466,-5.899383304802312,-4.2397336883193635,0.8700640078017593,0.0697472328038081,0.4288970079637269,0.0101573162494617,0.0,0.0,0.0,0.2633571955256978,0.0559213625634189,0.0815944032657328,1.159910112301502,0.1821271919097329,0.0340528855860181,0.0574652730360394,0.0263104211410033,0.0094709864855103,6.132519948688925,6.911103291075769,8.948606794086144,3.0,6.0,7.0
2021hmm ,0.1998,59301.42880192042,59304.71142717948,59299.83805643009,-18.019676506498712,-18.415390951795512,-17.759155841689353,-6.957818560694159,-1.9428538147024632,1.8330933707100117,0.1762656215333308,0.3807000958745963,-0.3944072232850128,0.34452419063569,0.3385403194598976,1.808955989853905,0.0292611588751293,0.0224418488025495,0.0676223036280442,0.6076866236456903,0.1156052584241103,0.0266290380414141,0.038663048208291,0.0195509535400447,0.0076125001029051,26.762965289424915,25.896556479395105,11.127705026535788,12.0,15.0,7.0
