pk_time,pk_mag,a1,a2,std_time,std_mag,std_a1,std_a2,chi2,filter,name,dof,redshift
59310.60284735956,20.590193144293966,-5.266665403417255,0.10806998007545213,0.284337026153434,0.01136755125408031,0.3922982551694403,0.05045822225603553,109.28509406876933,g,2021hmy ,24,0.3376
59310.61179944459,20.420838179003482,-3.2457987046170684,0.4142161124238218,0.2867655528190803,0.011337074344229432,0.12255018401802228,0.02391566347217642,43.62400495420036,r,2021hmy ,16,0.3376
59308.6491953603,21.443867187217226,1.1216315033711444,-0.09496864088949544,0.9022834379729231,0.03668639884771606,0.03164048899671008,0.008878102675210432,67.22960585833543,z,2021hmy ,14,0.3376
59292.03978750769,19.575641447465784,-5.141288130545219,0.22166481711149977,0.6284478022505581,0.03163807321476703,0.20821853126256404,0.03408051730543652,13.513395155493427,g,2021ftc,18,0.1217
59286.006424987565,20.202046981625067,2.2490474866695473,-0.5663872035868123,0.6510539307553367,0.0287826060170868,0.024800776537902854,0.0071735060709826074,22.469361915166942,z,2021ftc,9,0.1217
59293.499026345344,19.61978852332388,-0.455914444066021,0.3679284165689882,0.47355484223921473,0.013888490338724248,0.07745251961085098,0.0175483257453652,77.9458791505362,r,2021ftc,10,0.1217
59280.10411,20.801666317261418,-4.817063927348726,0.45784010755363164,3.2058282156007616,0.19982758565483863,0.2064103345876594,0.03380171648256762,37.03354908917319,r,2021hmr  ,28,0.5187
59275.24562667181,20.882472720686593,0.20167381408212004,0.2973000549386313,8.281303911622743,0.2556477147928618,0.04208802575798329,0.01151288610470577,51.326466674993036,z,2021hmr  ,23,0.5187
59272.20417178534,20.419409585273677,-9.484850630043795,0.00883499413717793,3.747585859966705,0.5163990722330273,1.5692502888385311,0.07834521168439264,16.083693989959976,g,2021hmr  ,25,0.5187
59284.274280000005,19.74082269084998,-5.239196211707313,0.23643627766132874,0.0,0.025628730378426147,0.2196417553589011,0.0335153839098523,3.773163142331999,g,2021gvr ,15,0.1064
59276.642459849456,19.299758380337032,-0.4842933567758882,0.32148981053648085,1.956885861468812,0.08822831311620366,0.09252606670912279,0.01714432002169825,76.18540185341658,r,2021gvr ,9,0.1064
59282.882421864335,20.274843344113194,2.3300226293148034,-0.6003091767484002,0.8403423071400695,0.03183094567938993,0.024597190572308605,0.00711394105553482,40.59987615677392,z,2021gvr ,8,0.1064
59301.85621288955,21.171794360327127,-3.312991888295403,0.18111558614659037,0.2760665009212222,0.022245425368300573,0.4311075967202887,0.04053274554902892,70.56093521637628,g,2021hmi  ,18,0.22975
59304.11781978462,21.071301996065596,-1.7647463532841596,0.37701839767153306,0.20838792256618313,0.014594424311496799,0.11331566608780312,0.020239966104182112,283.8544942227211,r,2021hmi  ,15,0.22975
59303.9494488845,21.477933840814075,1.6764104668093582,-0.32897820463817645,0.6452599239663781,0.037677693063348235,0.027493289960891242,0.007831841473935494,11.481020197005574,z,2021hmi  ,9,0.22975
59304.71142717948,21.538463631557423,-1.9428538147024632,0.3807000958745963,0.33854031945989765,0.022441848802549572,0.11560525842411035,0.01955095354004479,25.896556479395105,r,2021hmm ,15,0.1998
59301.42880192042,21.934178076854224,-6.957818560694159,0.17626562153333084,0.34452419063569,0.029261158875129364,0.6076866236456903,0.038663048208291036,26.762965289424915,g,2021hmm ,12,0.1998
59299.83805643009,22.194698741663583,1.8330933707100117,-0.3944072232850128,1.808955989853905,0.06762230362804424,0.02662903804141415,0.007612500102905195,11.127705026535788,z,2021hmm ,7,0.1998
59295.00111975043,20.634810883992678,2.206002002807847,-0.549337013729955,0.00012690244421703094,0.021142775778125504,0.024937688466142294,0.007209495058300271,27.143912116778854,z,2021hmq,11,0.129
59295.66936429985,19.99320077489175,-5.879017340204108,0.23256156491752414,0.4057625093562805,0.010655642469532704,0.33529207802321453,0.03450142094080871,39.067287275074655,g,2021hmq,13,0.129
59297.36643175651,19.981484793310006,-0.6076649433184101,0.37678945958680893,0.2830137085183562,0.008190904043380489,0.09055241865751701,0.01793248683696992,180.66467021992946,r,2021hmq,11,0.129
59337.077741949724,22.779390483919375,-1.2183692858344108,0.030485635173913683,1.4359217568578908,0.0726843558013157,0.9976598811623125,0.07101261269335063,51.43506963496214,g,2021hmx ,25,0.4765
59330.974685556306,21.718409901894248,0.4009294400020618,0.21022197779971716,0.7244467951956067,0.03284039367525573,0.03939857528347038,0.010810767729925652,103.54427268033585,z,2021hmx ,16,0.4765
59340.07835422311,22.213143573771923,-4.965090659124577,0.4686792063296787,0.6617824193252865,0.036441900913689,0.2290227725065937,0.031213711840538207,116.57412274324993,r,2021hmx ,15,0.4765
59343.15226649336,20.34628260189303,-1.346687603195857,0.24849805640162348,0.2283832571783197,0.01365247685165575,0.37760678084561466,0.03443535530664512,260.86427568852247,g,2021hnq  ,12,0.12935
59336.90997004457,22.556703722127498,-1.0693165465528247,0.3641329458781327,1.8243664422097392,0.08412413467507757,0.10492982422235159,0.018149698096622188,28.52835328953226,r,2021hnq  ,12,0.12935
59281.17705,21.75931727139149,-3.3254381616896,0.049603732895242995,0.0,0.08729552407796906,0.6468987001355441,0.060962867374949437,22.340161651389778,g,2021hmz ,15,0.4112
59271.29865,19.937893469704495,-4.43522242903807,0.4286235351967772,0.0,0.0351855058947027,0.18296464926873424,0.027241132244223483,7.8323021342963965,r,2021hmz ,10,0.4112
59290.223727183,21.35186463301219,0.7328421748169088,0.0659009643536334,5.860711867239315,0.188351596487196,0.035461761651562874,0.00982174467729352,15.80496689270849,z,2021hmz ,6,0.4112
59302.39103585958,22.318752540568358,-0.9754474673551429,0.35869526502371,0.6879975801808338,0.0488823966101168,0.10424710438739783,0.018108809524797955,90.96253966731298,r,2021hnl ,12,0.1273
59299.22042166859,21.73485814208996,2.2093596417442654,-0.5524105338741023,1.139478319003664,0.046221083067071116,0.02499790302703417,0.007206407389341569,7.820972098762402,z,2021hnl ,9,0.1273
59301.15810776081,22.739849250110744,-4.026903203953789,0.2240209791617922,0.00029735573017712884,0.136261753348973,0.5476226068665163,0.03460773596486232,61.91916451763991,g,2021hnl ,6,0.1273
59354.874301387405,21.644151024397157,2.418949199726847,-0.6401748275088593,1.1844601842883797,0.06389602753839004,0.024417655227666413,0.00705887370716601,17.997287660491075,z,2021hmo ,9,0.087
59358.995330145306,22.31007947264122,-0.5129307188807066,0.35290248287371717,0.84593501739144,0.06365794771501304,0.0999879457898329,0.01758345051007437,8.263805911294927,r,2021hmo ,7,0.087
59357.245269153835,22.9660118453871,-5.100705801397114,0.24981769220117211,2.352756873425567,0.22121516226116003,0.5284581184386369,0.03313013390576227,5.172690755052051,g,2021hmo ,3,0.087
59338.2538890326,21.374197298338345,2.1496917557382096,-0.5284191815163131,0.9190954435860478,0.047647950270628736,0.025203521969474313,0.007256811143542232,35.418812194662245,z,2021hmj ,8,0.1384
59346.222689032606,22.66330139374609,-1.1515697678015544,0.36766159250977903,0.0,0.0878854969542678,0.10632527501692593,0.01830435856660899,74.42488636292985,r,2021hmj ,6,0.1384
59299.005088295125,20.45209575726031,-1.4163922261901578,0.36264072958455507,0.22792930840910902,0.009294674794056428,0.0992516666171363,0.018377209896554475,55.978355614830335,r,2021hab ,14,0.151
59298.66651154076,20.47213130872361,-5.109385712529853,0.22327157423944743,0.2697385736894497,0.01158854207298811,0.35166108028757226,0.03547416552405605,17.083471559803314,g,2021hab ,15,0.151
59295.63341238604,21.339880950865687,2.0823961476616333,-0.5012319496395158,1.6934720701777706,0.040973902579736765,0.025424458857133323,0.007318540567244316,25.110668393223243,z,2021hab ,10,0.151
59336.31564694139,21.953744239793146,-6.529780761802966,0.07118534464191868,2.9189460755973293,0.16060665345701763,1.1601219140501913,0.059371510217551264,18.944224617879577,g,2021bxc ,5,0.399
59346.108646941386,22.21276604537922,-4.358831275747815,0.4368159330357611,0.0,0.07042408808880249,0.1898276048553597,0.027025636065481702,14.985565472876047,r,2021bxc ,6,0.399
59300.40671115236,22.54521816235374,-4.071797565782725,0.06937580315016799,1.4087278943246753,0.06449121116781616,0.9840138499499043,0.056557979712899185,62.025093444588194,g,2021hmw ,11,0.3784
59301.01624850838,21.89476726197496,-4.0066985332368485,0.4241160569712299,0.5583947466102555,0.027319012970699427,0.17746585763327088,0.026008975901225122,50.35335243564905,r,2021hmw ,10,0.3784
59297.299458313464,20.7500159193286,0.45964274781299674,0.2609103678893138,0.5701200531119729,0.014364533153700804,0.2413434258960135,0.031836769739024474,202.13782139168725,g,2021fxl ,17,0.0581
59289.892758313465,20.11168805449288,2.604667273200378,-0.704335941270945,0.0,0.014891834698464773,0.023892263765293766,0.006976647446860153,209.33649793144914,z,2021fxl ,11,0.0581
59303.671383058274,20.212242930233547,1.3905161176921499,0.2890293740827614,0.13427669582112406,0.010227822405301627,0.08022821445188448,0.016955928592580376,914.3256632022147,r,2021fxl ,11,0.0581
59297.397339330615,20.161494879633125,-6.166787084736708,0.22460764835359123,0.2273841682594356,0.00647296503456084,0.2634945999257114,0.035460970829726,75.4655183902519,g,2021gwm ,34,0.1571
59298.691381045835,20.21821061112465,-1.0796903873077108,0.3703267845669332,0.1640021895088482,0.0057114561945382164,0.085585052082729,0.018184553450872804,75.15464270970793,r,2021gwm ,27,0.1571
59296.299679627584,20.929068138585045,2.0749891927907753,-0.4887678798958534,0.7535141733843261,0.019084419224295456,0.025370740301907006,0.007343182639888491,82.00114760031217,z,2021gwm ,24,0.1571
59281.50834,22.031269614652043,0.8700640078017593,0.010157316249461758,0.0,0.0815944032657328,0.03405288558601817,0.009470986485510322,8.948606794086144,z,2021hml ,7,0.3854
59271.81054,21.25210078466056,-4.2397336883193635,0.4288970079637269,0.0,0.0559213625634189,0.18212719190973292,0.026310421141003397,6.911103291075769,r,2021hml ,6,0.3854
59271.81054,21.719207350675262,-5.899383304802312,0.06974723280380814,0.0,0.26335719552569786,1.159910112301502,0.057465273036039426,6.132519948688925,g,2021hml ,3,0.3854
59355.16591859873,22.07061706193492,1.124680120404012,-0.09684991095252092,1.405197776324244,0.06245341253190655,0.031640796872768495,0.008864704853905172,9.149498010812328,z,2021hmg ,9,0.3363
59350.7427671478,23.0640250894258,-3.695154707810526,0.4187418291714731,1.8724926008311022,0.09757489622961268,0.16242251090828871,0.024159572312886568,9.520367621522462,r,2021hmg ,4,0.3363
