mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.33347,z,21.76823376,0.08671755,23.35157093,c4d_210322_080011_ooi_z_v1.fits.fz,FALSE,2021hnl ,0.1273
59295.33588,r,22.49276841,0.086070149,24.07857165,c4d_210322_080340_ooi_r_v1.fits.fz,TRUE,,
59295.33726,g,24.1740989,0.378947027,24.14704854,c4d_210322_080538_ooi_g_v1.fits.fz,FALSE,,
59297.28953,g,24.34509437,0.366810701,24.37262594,c4d_210324_065655_ooi_g_v1.fits.fz,FALSE,,
59297.29055,r,22.69025854,0.092692559,24.19725979,c4d_210324_065823_ooi_r_v1.fits.fz,TRUE,,
59297.29192,z,21.84151125,0.10356217,23.22247995,c4d_210324_070021_ooi_z_v1.fits.fz,FALSE,,
59301.25495,g,23.18561656,0.795535753,22.33694877,c4d_210328_060707_ooi_g_v1.fits.fz,FALSE,,
59301.25599,r,22.96856387,0.452428309,22.72184053,c4d_210328_060837_ooi_r_v1.fits.fz,FALSE,,
59301.25736,z,22.07716302,0.190724418,22.76920327,c4d_210328_061035_ooi_z_v1.fits.fz,FALSE,,
59304.28824,r,22.35233108,0.541978258,21.9161245,c4d_210331_065504_ooi_r_v1.fits.fz,FALSE,,
59304.2906,z,21.7488057,0.31417952,21.91163783,c4d_210331_065827_ooi_z_v1.fits.fz,FALSE,,
59304.33549,r,21.82485709,0.305085684,22.00963931,c4d_210331_080306_ooi_r_v1.fits.fz,FALSE,,
59307.27928,g,20.71017072,0.673177639,20.02363552,c4d_210403_064209_ooi_g_v1.fits.fz,FALSE,,
59307.2802,r,21.73104804,1.304333601,20.32831475,c4d_210403_064329_ooi_r_v1.fits.fz,FALSE,,
59307.28135,z,22.22040369,1.835661984,20.4455031,c4d_210403_064508_ooi_z_v1.fits.fz,FALSE,,
59307.35447,g,23.19295704,0.836299283,22.28730445,c4d_210403_083026_ooi_g_v1.fits.fz,FALSE,,
59310.28055,g,24.31431095,0.558847815,23.87272593,c4d_210406_064359_ooi_g_v1.fits.fz,FALSE,,
59310.28145,r,23.02243055,0.170620014,23.85627391,c4d_210406_064517_ooi_r_v1.fits.fz,FALSE,,
59310.2826,z,22.03950795,0.121144504,23.23914076,c4d_210406_064656_ooi_z_v1.fits.fz,FALSE,,
59310.34776,g,24.28626968,0.567168719,23.80886363,c4d_210406_082046_ooi_g_v1.fits.fz,FALSE,,
59313.23347,g,24.77823632,0.587841553,24.28651713,c4d_210409_053611_ooi_g_v1.fits.fz,FALSE,,
59313.23439,r,23.46177495,0.206102452,24.09054186,c4d_210409_053730_ooi_r_v1.fits.fz,FALSE,,
59313.23554,z,22.44228849,0.16485983,23.31223964,c4d_210409_053910_ooi_z_v1.fits.fz,FALSE,,
59313.30985,g,24.99264508,1.207455288,23.7166095,c4d_210409_072610_ooi_g_v1.fits.fz,FALSE,,
59316.21878,g,24.3681775,0.490170986,24.07238884,c4d_210412_051502_ooi_g_v1.fits.fz,FALSE,,
59316.2197,r,22.95302692,0.141415831,23.99568039,c4d_210412_051622_ooi_r_v1.fits.fz,FALSE,,
59316.22086,z,22.47625816,0.201856665,23.12595602,c4d_210412_051802_ooi_z_v1.fits.fz,FALSE,,
59316.29807,g,23.93188947,0.34110912,24.01803688,c4d_210412_070913_ooi_g_v1.fits.fz,FALSE,,
59319.25558,g,23.87394358,0.245961628,24.3065814,c4d_210415_060802_ooi_g_v1.fits.fz,FALSE,,
59319.2565,r,23.30441729,0.197410092,23.97398289,c4d_210415_060921_ooi_r_v1.fits.fz,FALSE,,
59319.25764,z,22.37660404,0.173909902,23.18055819,c4d_210415_061100_ooi_z_v1.fits.fz,FALSE,,
59319.3206,g,24.75722432,0.592906924,24.23277258,c4d_210415_074139_ooi_g_v1.fits.fz,FALSE,,
59322.24497,g,25.0788587,0.750663476,24.31050822,c4d_210418_055245_ooi_g_v1.fits.fz,FALSE,,
59322.24591,r,23.66408298,0.251822466,24.07124984,c4d_210418_055406_ooi_r_v1.fits.fz,FALSE,,
59322.24707,z,22.67556389,0.226705194,23.20523696,c4d_210418_055546_ooi_z_v1.fits.fz,FALSE,,
59322.3155,g,23.72181046,0.263957569,24.09267085,c4d_210418_073419_ooi_g_v1.fits.fz,FALSE,,
59329.21553,g,25.50149997,5.567670725,22.53918285,c4d_210425_051021_ooi_g_v1.fits.fz,FALSE,,
59329.21645,r,22.97878249,0.36827095,22.94277599,c4d_210425_051141_ooi_r_v1.fits.fz,FALSE,,
59329.21759,z,22.38356005,0.214283436,22.95857628,c4d_210425_051319_ooi_z_v1.fits.fz,FALSE,,
59329.30545,g,23.87230715,1.473899793,22.34704348,c4d_210425_071951_ooi_g_v1.fits.fz,FALSE,,
59333.20929,g,23.18245272,0.692845102,22.48189895,c4d_210429_050122_ooi_g_v1.fits.fz,FALSE,,
59333.2102,r,23.75948853,0.84922382,22.84507485,c4d_210429_050241_ooi_r_v1.fits.fz,FALSE,,
59333.21134,z,23.02322685,0.527424221,22.60446115,c4d_210429_050419_ooi_z_v1.fits.fz,FALSE,,
59337.22358,r,23.37951752,0.380508357,23.32260047,c4d_210503_052157_ooi_r_v1.fits.fz,FALSE,,
59337.22472,g,23.20429676,0.381653093,23.164824,c4d_210503_052335_ooi_g_v1.fits.fz,FALSE,,
59337.22563,z,24.09344345,1.275497678,22.71731995,c4d_210503_052454_ooi_z_v1.fits.fz,FALSE,,
59337.30584,g,24.94750153,2.686037386,22.77997653,c4d_210503_072024_ooi_g_v1.fits.fz,FALSE,,
59340.2797,g,25.14623257,1.388539929,23.71944981,c4d_210506_064246_ooi_g_v1.fits.fz,FALSE,,
59340.28061,r,23.42133265,0.279941243,23.72478724,c4d_210506_064404_ooi_r_v1.fits.fz,FALSE,,
59340.28176,z,23.22589469,0.470739089,22.94173524,c4d_210506_064543_ooi_z_v1.fits.fz,FALSE,,
59346.25098,g,24.15054898,0.446987414,23.94803316,c4d_210512_060125_ooi_g_v1.fits.fz,FALSE,,
59346.25189,r,23.16785753,0.187441779,23.90450084,c4d_210512_060243_ooi_r_v1.fits.fz,FALSE,,
59346.25303,z,23.49219551,0.605559154,22.94223666,c4d_210512_060421_ooi_z_v1.fits.fz,FALSE,,
59349.23861,g,23.29042297,0.349082549,23.3595463,c4d_210515_054335_ooi_g_v1.fits.fz,FALSE,,
59349.23953,r,23.59820681,0.313187548,23.76351666,c4d_210515_054455_ooi_r_v1.fits.fz,FALSE,,
59349.24068,z,22.51274038,0.225917436,23.03141111,c4d_210515_054634_ooi_z_v1.fits.fz,FALSE,,
59352.1432,g,23.98748903,0.301686392,24.22070334,c4d_210518_032612_ooi_g_v1.fits.fz,FALSE,,
59352.14412,r,23.24588569,0.174340944,24.06373218,c4d_210518_032732_ooi_r_v1.fits.fz,FALSE,,
59352.14527,z,24.06773745,0.931785077,23.04790531,c4d_210518_032911_ooi_z_v1.fits.fz,FALSE,,
59352.28083,g,24.61854906,0.824894438,23.7345565,c4d_210518_064423_ooi_g_v1.fits.fz,FALSE,,
59356.14201,g,24.58874856,1.662135671,22.92194294,c4d_210522_032429_ooi_g_v1.fits.fz,FALSE,,
59356.14293,r,27.2178271,13.13689988,23.31757631,c4d_210522_032549_ooi_r_v1.fits.fz,FALSE,,
59356.14408,z,23.28688073,0.481344996,22.98007063,c4d_210522_032728_ooi_z_v1.fits.fz,FALSE,,
59367.20711,g,25.1136016,1.322961103,23.71195522,c4d_210602_045814_ooi_g_v1.fits.fz,FALSE,,
59367.20803,r,25.07115821,1.056380818,23.91584174,c4d_210602_045934_ooi_r_v1.fits.fz,FALSE,,
59367.20918,z,23.06568988,0.38960168,22.99582486,c4d_210602_050112_ooi_z_v1.fits.fz,FALSE,,
