mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.35272,z,22.22157531,0.194109347,22.89688278,c4d_210322_082755_ooi_z_v1.fits.fz,TRUE,2021hmo ,0.087
59295.35514,r,22.74672015,0.110308128,24.0867431,c4d_210322_083123_ooi_r_v1.fits.fz,TRUE,,
59295.35652,g,23.43729898,0.203789053,24.09424181,c4d_210322_083322_ooi_g_v1.fits.fz,FALSE,,
59295.35753,g,23.18016709,0.154289833,24.15164678,c4d_210322_083451_ooi_g_v1.fits.fz,TRUE,,
59295.35856,r,22.61960709,0.097089997,24.10831811,c4d_210322_083619_ooi_r_v1.fits.fz,TRUE,,
59295.35993,z,22.27051125,0.147306598,23.27839386,c4d_210322_083817_ooi_z_v1.fits.fz,FALSE,,
59297.30882,g,23.16631024,0.144937323,24.20052255,c4d_210324_072442_ooi_g_v1.fits.fz,TRUE,,
59297.30986,r,22.72324363,0.095544429,24.19590149,c4d_210324_072611_ooi_r_v1.fits.fz,TRUE,,
59297.31123,z,22.34386943,0.203448501,22.98123127,c4d_210324_072810_ooi_z_v1.fits.fz,TRUE,,
59297.31366,z,22.24211898,0.158269208,23.17145977,c4d_210324_073139_ooi_z_v1.fits.fz,TRUE,,
59297.31607,r,22.41457421,0.070987924,24.22617327,c4d_210324_073508_ooi_r_v1.fits.fz,FALSE,,
59297.31744,g,23.14931433,0.131394897,24.30401244,c4d_210324_073707_ooi_g_v1.fits.fz,FALSE,,
59301.27437,g,22.50904368,0.458287518,22.24424522,c4d_210328_063505_ooi_g_v1.fits.fz,FALSE,,
59301.27539,r,23.45038446,0.603900329,22.8843533,c4d_210328_063633_ooi_r_v1.fits.fz,FALSE,,
59301.27675,z,22.23812308,0.189202397,22.94280441,c4d_210328_063831_ooi_z_v1.fits.fz,FALSE,,
59301.27919,g,22.84300095,0.545101168,22.39314553,c4d_210328_064201_ooi_g_v1.fits.fz,FALSE,,
59301.28023,r,22.59235163,0.301929532,22.79677625,c4d_210328_064332_ooi_r_v1.fits.fz,FALSE,,
59301.28162,z,22.47413684,0.211067461,23.07663802,c4d_210328_064532_ooi_z_v1.fits.fz,FALSE,,
59304.30387,r,24.49796783,3.995776912,21.89104188,c4d_210331_071734_ooi_r_v1.fits.fz,FALSE,,
59304.30616,z,21.96577812,0.226326094,22.52625871,c4d_210331_072052_ooi_z_v1.fits.fz,FALSE,,
59304.30776,r,22.6098387,0.707325152,21.89300031,c4d_210331_072310_ooi_r_v1.fits.fz,FALSE,,
59304.31003,z,22.19045853,0.480434645,21.86774827,c4d_210331_072626_ooi_z_v1.fits.fz,FALSE,,
59304.33093,r,23.09490004,1.031492685,21.9653371,c4d_210331_075632_ooi_r_v1.fits.fz,FALSE,,
59304.33183,r,25.71092865,11.98278733,21.90915987,c4d_210331_075750_ooi_r_v1.fits.fz,FALSE,,
59307.31819,g,31.08584257,5079.094213,20.74296868,c4d_210403_073811_ooi_g_v1.fits.fz,FALSE,,
59307.31909,r,21.30124054,0.654427818,20.66738369,c4d_210403_073929_ooi_r_v1.fits.fz,FALSE,,
59307.32023,z,20.6918617,0.815757235,19.81451263,c4d_210403_074108_ooi_z_v1.fits.fz,FALSE,,
59307.32208,g,19.45060623,0.654098033,18.79425186,c4d_210403_074347_ooi_g_v1.fits.fz,FALSE,,
59307.32298,r,20.98821578,1.434947139,19.50260188,c4d_210403_074505_ooi_r_v1.fits.fz,FALSE,,
59307.32412,z,21.58335242,1.455293664,20.10113501,c4d_210403_074644_ooi_z_v1.fits.fz,FALSE,,
59307.35727,g,22.8513643,3.655252146,20.34308412,c4d_210403_083427_ooi_g_v1.fits.fz,FALSE,,
59307.35818,g,21.56036999,0.859829961,20.60359651,c4d_210403_083546_ooi_g_v1.fits.fz,FALSE,,
59310.31955,g,23.10913674,0.182585314,23.89627965,c4d_210406_074009_ooi_g_v1.fits.fz,FALSE,,
59310.32048,r,22.4431024,0.092532335,23.95510434,c4d_210406_074129_ooi_r_v1.fits.fz,TRUE,,
59310.32161,z,22.19296287,0.164195037,23.08700937,c4d_210406_074307_ooi_z_v1.fits.fz,TRUE,,
59310.32348,g,23.10634189,0.207880717,23.73147588,c4d_210406_074548_ooi_g_v1.fits.fz,FALSE,,
59310.32439,r,22.85508431,0.141005451,23.92398041,c4d_210406_074707_ooi_r_v1.fits.fz,TRUE,,
59310.32553,z,22.26354355,0.213745006,22.84688542,c4d_210406_074845_ooi_z_v1.fits.fz,FALSE,,
59310.35688,g,24.47661264,1.022094579,23.35236676,c4d_210406_083354_ooi_g_v1.fits.fz,FALSE,,
59310.35781,g,22.7867763,0.205348432,23.43781926,c4d_210406_083515_ooi_g_v1.fits.fz,FALSE,,
59313.28217,g,23.52463971,0.215738499,24.13243726,c4d_210409_064619_ooi_g_v1.fits.fz,FALSE,,
59313.2831,r,22.66833266,0.105731736,24.04631721,c4d_210409_064739_ooi_r_v1.fits.fz,TRUE,,
59313.28425,z,22.51845041,0.193651977,23.20255804,c4d_210409_064919_ooi_z_v1.fits.fz,TRUE,,
59313.28608,g,23.81109973,0.337829617,23.92486431,c4d_210409_065157_ooi_g_v1.fits.fz,FALSE,,
