mjd,filter,mag,magerr,lm5,sciname,alert,name,redshift
59295.28525,z,21.66880593,0.077217791,23.36627516,c4d_210322_065045_ooi_z_v1.fits.fz,FALSE,2021hmr  ,0.5187
59295.28766,r,21.47133507,0.033629023,24.13892039,c4d_210322_065414_ooi_r_v1.fits.fz,TRUE,,
59295.28905,g,22.20167453,0.063351508,24.18893622,c4d_210322_065613_ooi_g_v1.fits.fz,TRUE,,
59295.29008,g,22.00895119,0.05044126,24.26064448,c4d_210322_065743_ooi_g_v1.fits.fz,TRUE,,
59295.29111,r,21.41313219,0.035310932,23.99362156,c4d_210322_065911_ooi_r_v1.fits.fz,TRUE,,
59295.29248,z,21.57964811,0.06338935,23.49762203,c4d_210322_070110_ooi_z_v1.fits.fz,TRUE,,
59297.24131,g,22.22156684,0.085455956,23.84029364,c4d_210324_054729_ooi_g_v1.fits.fz,TRUE,,
59297.24233,r,21.52843621,0.042300854,23.97776534,c4d_210324_054857_ooi_r_v1.fits.fz,TRUE,,
59297.24371,z,21.7613306,0.125269115,22.92365341,c4d_210324_055056_ooi_z_v1.fits.fz,FALSE,,
59297.24615,z,21.69275175,0.081468969,23.3354928,c4d_210324_055426_ooi_z_v1.fits.fz,TRUE,,
59297.24857,r,21.50921569,0.050747342,23.7080665,c4d_210324_055756_ooi_r_v1.fits.fz,TRUE,,
59297.24993,g,22.19742374,0.044848879,24.58843769,c4d_210324_055954_ooi_g_v1.fits.fz,TRUE,,
59301.20146,g,22.93285605,0.723875976,22.18049337,c4d_210328_045005_ooi_g_v1.fits.fz,FALSE,,
59301.20251,r,21.83845966,0.102211294,23.23188293,c4d_210328_045136_ooi_r_v1.fits.fz,TRUE,,
59301.20391,z,21.86445893,0.140246556,22.90698474,c4d_210328_045338_ooi_z_v1.fits.fz,FALSE,,
59301.20633,g,22.35890188,0.446998799,22.15038098,c4d_210328_045707_ooi_g_v1.fits.fz,FALSE,,
59301.20738,r,21.80310688,0.18462949,22.53245854,c4d_210328_045838_ooi_r_v1.fits.fz,FALSE,,
59301.20877,z,22.00649863,0.18780244,22.71640121,c4d_210328_050037_ooi_z_v1.fits.fz,FALSE,,
59304.24537,z,21.61909149,0.146092354,22.60051655,c4d_210331_055319_ooi_z_v1.fits.fz,TRUE,,
59304.24697,r,21.95165408,0.117609938,23.19322608,c4d_210331_055538_ooi_r_v1.fits.fz,FALSE,,
59304.24924,z,21.73884866,0.273734401,22.04295585,c4d_210331_055854_ooi_z_v1.fits.fz,FALSE,,
59304.34396,r,21.92135637,0.131495343,23.06420148,c4d_210331_081518_ooi_r_v1.fits.fz,FALSE,,
59304.34487,r,21.88816843,0.345707386,21.94264754,c4d_210331_081636_ooi_r_v1.fits.fz,FALSE,,
59307.24345,g,21.8115615,1.439888365,20.3307646,c4d_210403_055034_ooi_g_v1.fits.fz,FALSE,,
59307.24436,r,23.49183165,3.547299598,21.01803905,c4d_210403_055153_ooi_r_v1.fits.fz,FALSE,,
59307.24552,z,22.49455565,1.19076191,21.19917521,c4d_210403_055332_ooi_z_v1.fits.fz,FALSE,,
59307.25979,g,21.47058743,1.049075659,20.30669037,c4d_210403_061406_ooi_g_v1.fits.fz,FALSE,,
59307.2607,r,22.72426137,1.61829096,21.1064735,c4d_210403_061524_ooi_r_v1.fits.fz,FALSE,,
59307.26183,z,21.41649991,0.129889721,22.54403748,c4d_210403_061702_ooi_z_v1.fits.fz,FALSE,,
59307.3393,g,24.09259932,1.11305514,22.8752928,c4d_210403_080835_ooi_g_v1.fits.fz,FALSE,,
59307.3402,g,23.88345147,0.373253362,23.85429521,c4d_210403_080953_ooi_g_v1.fits.fz,FALSE,,
59310.24785,g,23.20347626,0.200093454,23.89313381,c4d_210406_055654_ooi_g_v1.fits.fz,FALSE,,
59310.24877,r,22.41332679,0.103988718,23.7954268,c4d_210406_055814_ooi_r_v1.fits.fz,TRUE,,
59310.24991,z,21.8500163,0.097980874,23.28638445,c4d_210406_055952_ooi_z_v1.fits.fz,TRUE,,
59310.26102,g,23.56348159,0.33553245,23.66387691,c4d_210406_061552_ooi_g_v1.fits.fz,FALSE,,
59310.26195,r,22.49548428,0.134513141,23.6043243,c4d_210406_061712_ooi_r_v1.fits.fz,TRUE,,
59310.26308,z,22.03412342,0.158810789,22.93401464,c4d_210406_061850_ooi_z_v1.fits.fz,TRUE,,
59310.34229,g,23.70351162,0.331855632,23.8047698,c4d_210406_081253_ooi_g_v1.fits.fz,FALSE,,
59310.3432,g,24.65423631,0.931387457,23.65390978,c4d_210406_081412_ooi_g_v1.fits.fz,FALSE,,
59313.20985,g,24.17777993,0.272186327,24.51101887,c4d_210409_050211_ooi_g_v1.fits.fz,FALSE,,
59313.21076,r,22.56245295,0.125848599,23.74890421,c4d_210409_050329_ooi_r_v1.fits.fz,TRUE,,
59313.212,z,21.81040574,0.083561997,23.40702346,c4d_210409_050516_ooi_z_v1.fits.fz,TRUE,,
59313.21384,g,23.47925847,0.193232597,24.20002059,c4d_210409_050756_ooi_g_v1.fits.fz,FALSE,,
59313.21476,r,22.48096456,0.105013089,23.87218282,c4d_210409_050915_ooi_r_v1.fits.fz,TRUE,,
59313.2159,z,22.09973072,0.161080782,22.99326295,c4d_210409_051053_ooi_z_v1.fits.fz,FALSE,,
59313.30412,g,23.56646472,0.319807068,23.71024872,c4d_210409_071755_ooi_g_v1.fits.fz,FALSE,,
59313.30512,g,24.06451032,0.38484224,24.02228138,c4d_210409_071922_ooi_g_v1.fits.fz,FALSE,,
59316.1963,g,23.93764632,0.345397006,23.99544645,c4d_210412_044240_ooi_g_v1.fits.fz,FALSE,,
59316.19722,r,25.79360264,2.376470119,23.74837006,c4d_210412_044400_ooi_r_v1.fits.fz,FALSE,,
59316.20007,g,24.27033457,0.485885394,23.95148777,c4d_210412_044806_ooi_g_v1.fits.fz,FALSE,,
59316.20098,r,22.90292988,0.144473164,23.93015914,c4d_210412_044924_ooi_r_v1.fits.fz,TRUE,,
59316.20214,z,21.82161007,0.122493125,23.00892769,c4d_210412_045104_ooi_z_v1.fits.fz,TRUE,,
59316.29249,g,24.02225208,0.367833188,24.02609575,c4d_210412_070111_ooi_g_v1.fits.fz,FALSE,,
59316.29341,g,23.87656402,0.344711454,23.94500686,c4d_210412_070230_ooi_g_v1.fits.fz,FALSE,,
59319.21813,g,24.81512672,0.493685188,24.5119925,c4d_210415_051406_ooi_g_v1.fits.fz,FALSE,,
59319.21903,r,22.93671144,0.162869893,23.82248453,c4d_210415_051524_ooi_r_v1.fits.fz,FALSE,,
59319.22387,r,22.87881808,0.167770306,23.73060858,c4d_210415_052222_ooi_r_v1.fits.fz,TRUE,,
59319.22501,z,21.88754156,0.102456107,23.28885258,c4d_210415_052401_ooi_z_v1.fits.fz,TRUE,,
